R,algorithm,date,iteration,seed,size,λ
10,ea1pλSASD,20201204144336_635,160,16070894166229660,100,10
10,ea1pλSASD,20201204144336_637,329,16070894166139650,100,10
10,ea1pλSASD,20201204144336_638,454,16070894166058330,100,10
10,ea1pλSASD,20201204144336_643,294,16070894166258450,100,10
10,ea1pλSASD,20201204144336_651,180,16070894166376678,100,10
10,ea1pλSASD,20201204144336_653,197,16070894166390310,100,10
10,ea1pλSASD,20201204144336_655,128,16070894166440100,100,10
10,ea1pλSASD,20201204144336_66,378,16070894166355850,100,10
10,ea1pλSASD,20201204144336_671,273,16070894166519370,100,10
10,ea1pλSASD,20201204144336_672,208,16070894166557130,100,10
10,ea1pλSASD,20201204144336_68,270,16070894166613130,100,10
10,ea1pλSASD,20201204144336_693,241,16070894166721000,100,10
10,ea1pλSASD,20201204144336_695,207,16070894166806810,100,10
10,ea1pλSASD,20201204144336_696,322,16070894166726770,100,10
10,ea1pλSASD,20201204144336_7,473,16070894166722560,100,10
10,ea1pλSASD,20201204144336_71,115,16070894166970520,100,10
10,ea1pλSASD,20201204144336_754,228,16070894166943230,100,10
10,ea1pλSASD,20201204144336_759,191,16070894167010800,100,10
10,ea1pλSASD,20201204144336_76,259,16070894166962390,100,10
10,ea1pλSASD,20201204144336_767,164,16070894167516690,100,10
10,ea1pλSASD,20201204144336_777,251,16070894167551820,100,10
10,ea1pλSASD,20201204144336_786,272,16070894167609730,100,10
10,ea1pλSASD,20201204144336_789,102,16070894167777700,100,10
10,ea1pλSASD,20201204144336_792,306,16070894167677400,100,10
10,ea1pλSASD,20201204144336_793,403,16070894167600340,100,10
10,ea1pλSASD,20201204144336_801,116,16070894167898100,100,10
10,ea1pλSASD,20201204144336_804,108,16070894167936398,100,10
10,ea1pλSASD,20201204144336_806,121,16070894167933280,100,10
10,ea1pλSASD,20201204144336_822,152,16070894168071890,100,10
10,ea1pλSASD,20201204144336_825,189,16070894168071930,100,10
10,ea1pλSASD,20201204144336_836,292,16070894168015580,100,10
10,ea1pλSASD,20201204144336_844,450,16070894168054170,100,10
10,ea1pλSASD,20201204144336_844,171,16070894168234110,100,10
10,ea1pλSASD,20201204144336_847,234,16070894168256062,100,10
10,ea1pλSASD,20201204144336_86,279,16070894168367910,100,10
10,ea1pλSASD,20201204144336_86,117,16070894168482230,100,10
10,ea1pλSASD,20201204144336_862,192,16070894168453000,100,10
10,ea1pλSASD,20201204144336_865,200,16070894168451620,100,10
10,ea1pλSASD,20201204144336_874,147,16070894168608890,100,10
10,ea1pλSASD,20201204144336_877,191,16070894168606082,100,10
10,ea1pλSASD,20201204144336_884,211,16070894168624908,100,10
10,ea1pλSASD,20201204144336_894,196,16070894168774960,100,10
10,ea1pλSASD,20201204144336_899,161,16070894168845490,100,10
10,ea1pλSASD,20201204144336_9,333,16070894168751430,100,10
10,ea1pλSASD,20201204144336_907,277,16070894168845490,100,10
10,ea1pλSASD,20201204144336_912,122,16070894169002460,100,10
10,ea1pλSASD,20201204144336_919,288,16070894168954862,100,10
10,ea1pλSASD,20201204144336_929,296,16070894169083418,100,10
10,ea1pλSASD,20201204144336_93,191,16070894169127770,100,10
10,ea1pλSASD,20201204144336_937,348,16070894169006900,100,10
10,ea1pλSASD,20201204144336_944,286,16070894169205850,100,10
10,ea1pλSASD,20201204144336_951,206,16070894169300808,100,10
10,ea1pλSASD,20201204144336_954,231,16070894169314100,100,10
10,ea1pλSASD,20201204144336_967,204,16070894169520120,100,10
10,ea1pλSASD,20201204144336_976,226,16070894169547228,100,10
10,ea1pλSASD,20201204144336_978,399,16070894169446198,100,10
10,ea1pλSASD,20201204144336_982,592,16070894169383690,100,10
10,ea1pλSASD,20201204144336_985,208,16070894169680250,100,10
10,ea1pλSASD,20201204144336_993,199,16070894169783840,100,10
10,ea1pλSASD,20201204144336_998,144,16070894169863340,100,10
10,ea1pλSASD,20201204144337_006,173,16070894169938490,100,10
10,ea1pλSASD,20201204144337_007,314,16070894169827300,100,10
10,ea1pλSASD,20201204144337_009,416,16070894169771420,100,10
10,ea1pλSASD,20201204144337_029,457,16070894169988990,100,10
10,ea1pλSASD,20201204144337_032,266,16070894170081460,100,10
10,ea1pλSASD,20201204144337_042,451,16070894170100910,100,10
10,ea1pλSASD,20201204144337_042,567,16070894170071440,100,10
10,ea1pλSASD,20201204144337_047,181,16070894170300730,100,10
10,ea1pλSASD,20201204144337_053,249,16070894170324910,100,10
10,ea1pλSASD,20201204144337_058,175,16070894170481328,100,10
10,ea1pλSASD,20201204144337_07,326,16070894170432920,100,10
10,ea1pλSASD,20201204144337_111,400,16070894170431430,100,10
10,ea1pλSASD,20201204144337_111,215,16070894170591000,100,10
10,ea1pλSASD,20201204144337_112,297,16070894170536310,100,10
10,ea1pλSASD,20201204144337_121,159,16070894171121490,100,10
10,ea1pλSASD,20201204144337_121,162,16070894171122630,100,10
10,ea1pλSASD,20201204144337_129,283,16070894170708088,100,10
10,ea1pλSASD,20201204144337_134,143,16070894171221400,100,10
10,ea1pλSASD,20201204144337_134,348,16070894171131000,100,10
10,ea1pλSASD,20201204144337_136,188,16070894171220000,100,10
10,ea1pλSASD,20201204144337_147,261,16070894171298758,100,10
10,ea1pλSASD,20201204144337_15,168,16070894171352388,100,10
10,ea1pλSASD,20201204144337_152,187,16070894171348470,100,10
10,ea1pλSASD,20201204144337_159,320,16070894171371738,100,10
10,ea1pλSASD,20201204144337_163,196,16070894171507462,100,10
10,ea1pλSASD,20201204144337_166,150,16070894171532340,100,10
10,ea1pλSASD,20201204144337_174,231,16070894171602860,100,10
10,ea1pλSASD,20201204144337_177,437,16070894171480690,100,10
10,ea1pλSASD,20201204144337_181,165,16070894171669030,100,10
10,ea1pλSASD,20201204144337_188,142,16070894171749100,100,10
10,ea1pλSASD,20201204144337_195,428,16070894171643072,100,10
10,ea1pλSASD,20201204144337_197,249,16070894171779060,100,10
10,ea1pλSASD,20201204144337_198,201,16070894171821580,100,10
10,ea1pλSASD,20201204144337_209,138,16070894171956160,100,10
10,ea1pλSASD,20201204144337_214,316,16070894171885860,100,10
10,ea1pλSASD,20201204144337_218,236,16070894171986452,100,10
10,ea1pλSASD,20201204144337_222,297,16070894171984060,100,10
10,ea1pλSASD,20201204144337_227,208,16070894172145960,100,10
10,ea1pλSASD,20201204144337_232,201,16070894172188630,100,10
10,ea1pλSASD,20201204144337_234,130,16070894172233520,100,10
10,ea1pλSASD,20201204144337_249,369,16070894172099928,100,10
10,ea1pλSASD,20201204144337_251,247,16070894172279242,100,10
10,ea1pλSASD,20201204144337_255,232,16070894172332260,100,10
10,ea1pλSASD,20201204144337_259,204,16070894172348350,100,10
10,ea1pλSASD,20201204144337_267,182,16070894172501170,100,10
10,ea1pλSASD,20201204144337_273,197,16070894172562050,100,10
10,ea1pλSASD,20201204144337_282,221,16070894172596322,100,10
10,ea1pλSASD,20201204144337_289,303,16070894172683410,100,10
10,ea1pλSASD,20201204144337_29,228,16070894172737410,100,10
10,ea1pλSASD,20201204144337_301,233,16070894172825680,100,10
10,ea1pλSASD,20201204144337_309,287,16070894172904530,100,10
10,ea1pλSASD,20201204144337_31,250,16070894172904570,100,10
10,ea1pλSASD,20201204144337_323,329,16070894173019158,100,10
10,ea1pλSASD,20201204144337_325,170,16070894173095500,100,10
10,ea1pλSASD,20201204144337_33,404,16070894173019180,100,10
10,ea1pλSASD,20201204144337_337,171,16070894173237350,100,10
10,ea1pλSASD,20201204144337_338,306,16070894173105300,100,10
10,ea1pλSASD,20201204144337_345,213,16070894173255178,100,10
10,ea1pλSASD,20201204144337_348,152,16070894173307240,100,10
10,ea1pλSASD,20201204144337_36,204,16070894173383560,100,10
